reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.83197337,42.95136524,0,0,104,195.2466042,2020/11/03 19:04:18+00,,,,,,,,,,,,,,,,,,,,,
-78.83197987,42.95139145,0,0,105,195.1144129,2020/11/03 19:04:20+00,,,,,,,,,,,,,,,,,,,,,
-78.83197768,42.95141236,0,0,106,195.093829,2020/11/03 19:04:22+00,,,,,,,,,,,,,,,,,,,,,
-78.83199046,42.95144613,0,0,107,194.8762139,2020/11/03 19:04:24+00,,,,,,,,,,,,,,,,,,,,,
-78.83198225,42.95147113,0,0,108,194.6170823,2020/11/03 19:04:26+00,,,,,,,,,,,,,,,,,,,,,
-78.83200769,42.95149502,0,0,109,194.5547601,2020/11/03 19:04:28+00,,,,,,,,,,,,,,,,,,,,,
-78.8320298,42.9515309,0,0,110,194.5719106,2020/11/03 19:04:30+00,,,,,,,,,,,,,,,,,,,,,
-78.8320495,42.95156177,0,0,111,194.6782641,2020/11/03 19:04:32+00,,,,,,,,,,,,,,,,,,,,,
-78.83206185,42.95158611,0,0,112,194.5450392,2020/11/03 19:04:34+00,,,,,,,,,,,,,,,,,,,,,
-78.83207926,42.95160906,0,0,113,194.3123443,2020/11/03 19:04:36+00,,,,,,,,,,,,,,,,,,,,,
-78.83209276,42.95163432,0,0,114,194.700654,2020/11/03 19:04:38+00,,,,,,,,,,,,,,,,,,,,,
-78.83210274,42.9516586,0,0,115,194.3987185,2020/11/03 19:04:39+00,,,,,,,,,,,,,,,,,,,,,
-78.8321091,42.95168134,0,0,116,194.3730161,2020/11/03 19:04:40+00,,,,,,,,,,,,,,,,,,,,,
-78.83212114,42.95170687,0,0,117,194.6146711,2020/11/03 19:04:42+00,,,,,,,,,,,,,,,,,,,,,
-78.83214224,42.9517401,0,0,118,194.2948071,2020/11/03 19:04:44+00,,,,,,,,,,,,,,,,,,,,,
-78.83215146,42.95176354,0,0,119,194.1038643,2020/11/03 19:04:46+00,,,,,,,,,,,,,,,,,,,,,
-78.83216517,42.95178138,0,0,120,194.5029312,2020/11/03 19:04:48+00,,,,,,,,,,,,,,,,,,,,,
-78.83217615,42.95180112,0,0,121,193.9822982,2020/11/03 19:04:50+00,,,,,,,,,,,,,,,,,,,,,
